ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREFE,REGIAO5,REGIAO8,NOME_FEIRA,REGISTRO,LOGRADOURO,NUMERO,BAIRRO,REFERENCIA
1,-46550164,-23558733,355030885000091,3550308005040,87,VILA FORMOSA,26,ARICANDUVA-FORMOSA-CARRAO,Leste,Leste 1,VILA FORMOSA,4041-0,RUA MARAGOJIPE,S/N,VL FORMOSA,TV RUA PRETORIA
2,-46574716,-23584852,355030893000035,3550308005042,95,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,PRACA SANTA HELENA,4045-2,RUA JOSE DOS REIS,909.000000,VL ZELINA,RUA OLIVEIRA GOUVEIA
3,-46610332,-23536131,355030810000027,3550308005005,10,BRAS,25,MOOCA,Leste,Leste 1,CONCORDIA,4003-7,RUA SAMPSON C MENDES JUNIOR,S/N,BRAS,TV RUA BRESSER
4,-46513450,-23520880,355030859000173,3550308005145,60,PENHA,21,PENHA,Leste,Leste 1,VILA NOVA GRANADA,3048-1,RUA FRANCISCO DE OLIVEIRA BRAGA,13.000000,VL NOVA GRANADA,RUA OLIVIA DE OLIVEIRA
5,-46485000,-23568665,355030824000048,3550308005152,24,CIDADE LIDER,27,ITAQUERA,Leste,Leste 2,PARQUE SAVOY CITY,7210-9,RUA DR CELSO PACHECO BETIM,S/N,PQ SAVOY CITY,
6,-46659953,-23691790,355030858000074,3550308005216,59,PEDREIRA,16,CIDADE ADEMAR,Sul,Sul 2,MAR PAULISTA,1087-1,RUA AUGUSTO DE CASTRO,74.000000,PEDREIRA,ESTRADA DO ALVARENGA
7,-46701030,-23481683,355030829000059,3550308005116,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,CRUZ DAS ALMAS,1040-5,ES DO SABAO,448.000000,CRUZ DAS ALMAS,AV ELISIO TEIXEIRA LEITE
8,-46426341,-23523125,355030896000157,3550308005257,47,LAJEADO,28,GUAIANASES,Leste,Leste 2,LAJEADO,7222-2,RUA JOSE MARTINS DOS SANTOS,S/N,LAJEADO,
9,-46673057,-23539369,355030860000031,3550308005026,61,PERDIZES,8,LAPA,Oeste,Oeste,ALTO DAS PERDIZES,3008-2,RUA MIN GODOY,1261.000000,PERDIZES,PONTF.UNIVERSIDADE CATOLICA
10,-46527190,-23530784,355030859000046,3550308005074,60,PENHA,21,PENHA,Leste,Leste 1,MARIA CARLOTA,4038-0,RUA MARIA CARLOTA,S/N,PENHA,LOC AV AMADOR BUENO DA VEIGA
11,-46434970,-23521470,355030874000073,3550308005197,76,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,CECILIA ITER,4072-0,AV MONS AGNELO,305.000000,VL PROGRESSO,P FINAL ON VILA PROGRESSO
12,-46731043,-23592640,355030894000165,3550308005179,96,VILA SONIA,10,BUTANTA,Oeste,Oeste,VILA SONIA,6034-8,AV GAL FRANCISCO MORAZAN,,VL SONIA,PROXIMO DISTRITO POLICIAL
13,-46569768,-23486440,355030892000021,3550308005069,94,VILA MEDEIROS,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,COHAB FERNAO DIAS,1152-5,RUA COMBATE LAGOA BRANCA,,VL SABRINA,ALONSO P B AVENTURA DE SOUZA
14,-46594968,-23645941,355030868000172,3550308005090,69,SACOMA,13,IPIRANGA,Sul,Sul 1,VILA OLIVIERI,6061-5,RUA CLAUDIO FERREIRA MANOEL,29.000000,VL OLIVIERI,RUA CARLA LIVIERO
15,-46681941,-23752316,355030830000054,3550308005283,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,COCAIA,1147-9,AV TRINTA E SETE CONJ FARIA LIMA,S/N,PQ COCAIA,RUA CAMPO DO ARAVIL
16,-46674080,-23486660,355030850000100,3550308005060,50,LIMAO,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,SANTA MARIA,3077-5,RUA TOMAZ ANTONIO VILANE,417.000000,VL STA MARIA,TV AV DEP EMILIO CARLOS
17,-46659253,-23550464,355030826000014,3550308005013,26,CONSOLACAO,9,SE,Centro,Centro,ANGELICA,6005-4,RUA MATO GROSSO C/ PARA,S/N,CONSOLACAO,TV DA RUA SERGIPE
18,-46488746,-23507319,355030864000076,3550308005141,65,PONTE RASA,22,ERMELINO MATARAZZO,Leste,Leste 2,VILA PONTE RASA,7173-0,RUA AGENOR DE BARROS,S/N,VL PONTE RASA,AV SAO MIGUEL E SIMPLICIO  SA
19,-46646503,-23599878,355030877000176,3550308005047,79,SAUDE,12,VILA MARIANA,Sul,Sul 1,INDIANOPOLIS,4046-0,AL AGOSTINHO RODRIGUES FILHO,363.000000,V L MARIANA,RUA LEANDRO DUQUE E TETSUAL
20,-46567647,-23520830,355030889000082,3550308005035,91,VILA MARIA,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,SANTO ELISIO,5061-0,RUA SOLD JOSE VICENTE DE PAULA,196.000000,VL MARIA,AV SERAFIN GONCALVES PEREIRA
21,-46651098,-23580471,355030832000036,3550308005049,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,IBIRAPUERA,3009-0,RUA JOINVILLE,323.000000,IBIRAPUERA,S/INFOR
22,-46734009,-23585410,355030812000047,3550308005180,12,BUTANTA,10,BUTANTA,Oeste,Oeste,JARDIM PERI PERI,3102-0,RUA PLINIO SALGADO,,BUTANTA,PROXIMO A REGIONAL DO BUTANTA
23,-46625498,-23501502,355030870000005,3550308005064,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,SANTANA,4015-0,RUA GABRIEL PIZZA,S/N,SANTANA,DR.ZUQUIM
24,-46479045,-23531381,355030805000045,3550308005146,05,ARTUR ALVIM,21,PENHA,Leste,Leste 1,JARDIM COIMBRA,3082-1,RUA PITAGORAS,579.000000,JD COIMBRA,RUA CLAUDIO BARTOLOMEU
25,-46705028,-23610575,355030854000048,3550308005104,55,MORUMBI,10,BUTANTA,Oeste,Oeste,FEIRAO DA ECONOMIA REAL PARQUE,5143-8,AV BARAO DE MONTE MOR,S/N,REAL PQ MORUMBI,
26,-46539086,-23516796,355030859000107,3550308005074,60,PENHA,21,PENHA,Leste,Leste 1,PENHA,1032-4,RUA OMACHA,530.000000,PENHA,AVENIDA AMADOR BUENO DA VEIGA
27,-46627807,-23495005,355030870000014,3550308005063,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,SANTA TEREZINHA,1018-9,RUA VICENTE SOARES,S/N,STA TEREZINHA,ENTRE R JOAO BAT S FARIA
28,-46626144,-23473742,355030851000067,3550308005129,51,MANDAQUI,5,SANTANA-TUCURUVI,Norte,Norte 2,SANTANA,5380-5,AV ENGENHEIRO CAETANO ALVARES,,SANTANA,MANDAQUI
29,-46630296,-23609234,355030877000047,3550308005047,79,SAUDE,12,VILA MARIANA,Sul,Sul 1,PRACA DA ARVORE,7126-9,RUA GUIRATINGA,S/N,CHAC INGLESA,AV ITABORAI
30,-46629865,-23540244,355030878000009,3550308005001,80,SE,9,SE,Centro,Centro,MERCADO CENTRAL ORGANICO,7244-3,RUA CANTAREIRA,,CENTRO,CALCADA MERCADO CENTRAL
31,-46600167,-23604889,355030868000231,3550308005085,69,SACOMA,13,IPIRANGA,Sul,Sul 1,SACOMA,7023-8,RUA AMERICO SAMARONE,327.000000,SACOMA,TV RUA REGINO ARAGAO
32,-46593888,-23452380,355030881000034,3550308005134,83,TREMEMBE,6,JACANA-TREMEMBE,Norte,Norte 2,PENAFORTE,1135-5,RUA PENAFORTE,S/N,JD PAULISTANA,RUA NOSSA SENHORA DA CONCORDIA
33,-46427138,-23537932,355030847000108,3550308005261,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,JARDIM SANTA HELENA,6056-9,RUA SANTA EDITH,357.000000,JD STA HELENA,GUAIANAZES
34,-46444519,-23519118,355030837000160,3550308005200,36,ITAQUERA,27,ITAQUERA,Leste,Leste 2,VILA VERDE,7217-6,RUA BARAO DE GODOFREDO,S/N,VL VERDE,
35,-46660663,-23490605,355030821000044,3550308005062,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,CARMEM,6024-0,RUA CESAR PENA RAMOS,592.000000,CASA VERDE,ENTRE BALDOVENETI E CAPANEO
36,-46622239,-23578849,355030890000111,3550308005046,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,VILA DEODORO,1003-0,RUA INGLES DE SOUZA,618.000000,CAMBUCI,AV LINS DE VASCONCELOS
37,-46551155,-23511338,355030859000191,3550308005071,60,PENHA,21,PENHA,Leste,Leste 1,ENGENHEIRO TRINDADE,4063-0,RUA ENG TRINDADE,5.000000,PENHA,EST.REDE FERROVIARIA FEDERAL
38,-46585174,-23511893,355030889000062,3550308005034,91,VILA MARIA,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,VILA MARIA,7013-0,RUA ARARITAGUABA,454.000000,VL MARIA BAIXA,AV GUILHERME COTCHING
39,-46534795,-23591308,355030872000072,3550308005080,74,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,VILA EMA,4064-9,RUA PDE PEDRO MAGNONI,511.000000,VL EMA,PONTO FINAL ONIBUS VILA EMA
40,-46739931,-23506050,355030895000039,3550308005110,73,SAO DOMINGOS,2,PIRITUBA,Norte,Norte 1,PARQUE SAO DOMINGOS,3078-3,RUA BRIG HENRIQUE FORTINELLI,132.000000,PQ SAO DOMINGUES,PORT 17/94
41,-46737785,-23407009,355030861000025,3550308005242,62,PERUS,1,PERUS,Norte,Norte 1,VILA MALVINA,6123-9,RUA TIBURNO,S/N,VL MALVINA,
42,-46649678,-23574321,355030890000224,3550308005022,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,ALCINO BRAGA,6007-0,RUA ALCINO BRAGA C/ SAMPAIO VIANA,219.000000,PARAISO,ESQ R ABILIO SOARES
43,-46686163,-23673758,355030816000022,3550308005171,16,CAMPO GRANDE,14,SANTO AMARO,Sul,Sul 2,CAMPO GRANDE,1077-4,RUA ARNALDO MAGNICARO,398.000000,JD JURUBATUBA,AV NOSSA SRA DO SABARA
44,-46753516,-23646780,355030846000278,3550308005229,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,VILA PRELL,4086-0,RUA THEREZA MAIA PINTO,S/N,VL PRELL,TV ES DE ITAPECERICA
45,-46506989,-23610434,355030876000056,3550308005160,78,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,RIO CLARO,5099-7,AV LOURIVAL FONTES,342.000000,JD PLANALTO,JD PLANALTO VILA PRUDENTE
46,-46628667,-23578491,355030890000080,3550308005020,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,ACLIMACAO,6350-9,RUA ENG LUIZ GOMES C SANGIRARDI,,ACLIMACAO,
47,-46757111,-23474333,355030895000116,3550308005111,73,SAO DOMINGOS,2,PIRITUBA,Norte,Norte 1,VILA NOVA ESPERANCA,7240-0,RUA CALDAS NOVAS,,VILA NOVA ESPERANCA,
48,-46778282,-23645653,355030817000079,3550308005237,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM ROSANA,1118-5,RUA CARLOS NAHAS C/ CARLOS LACERDA,,JD ROSANA,ESTRADA PIRAJUSSARA
49,-46604688,-23495405,355030886000055,3550308005032,88,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,VILA MAZZEI,3025-2,RUA QUEDAS,567.000000,VL MAZZEI,AV. LUIZ MAZZEI
50,-46618563,-23620230,355030827000004,3550308005044,27,CURSINO,13,IPIRANGA,Sul,Sul 1,VILA MORAES,7024-6,RUA DIVINOPOLIS C/ NSA DA SAUDE,234.000000,VL MORAES,TV AV CURSINO
51,-46465199,-23554299,355030824000120,3550308005203,24,CIDADE LIDER,27,ITAQUERA,Leste,Leste 2,CIDADE LIDER,7038-6,RUA FRANCISCO MUNHOZ FILHO,501.000000,CID LIDER,PARALELA A AV LIDER
52,-46793683,-23588971,355030865000068,3550308005239,66,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,JARDIM ARPOADOR,1074-0,RUA ADERBAL STRESSER,,JD ARPOADOR,KM 18 DA RV RAPOSO TAVARES
53,-46660521,-23689744,355030858000146,3550308005213,59,PEDREIRA,16,CIDADE ADEMAR,Sul,Sul 2,PEDREIRA,5075-0,AV AUGUSTO DE CASTRO,283.000000,PEDREIRA,PORT 036/94
54,-46484047,-23526997,355030805000066,3550308005146,05,ARTUR ALVIM,21,PENHA,Leste,Leste 1,PRACA SANTA QUITERIA,7146-3,RUA JOSE ALOYSIO BRANDAO VILELA,S/N,JD NORDESTE,JOSE ALOISIO BRANDAO VILELA
55,-46663838,-23508818,355030821000087,3550308005030,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,PARQUE SOUZA ARANHA,7252-4,RUA MOURAO VIEIRA,,PARQUE SOUZA ARANHA,RUA REIMS
56,-46757198,-23567676,355030867000131,3550308005184,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,VILA DALVA,4089-4,RUA JORGE WORD,49.000000,VL DALVA,AV RIBEIRAO JAGUARE
57,-46668135,-23503638,355030850000062,3550308005060,50,LIMAO,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,BAIRRO DO LIMAO,5027-0,RUA MADALENA MADUREIRA,54.000000,CASA VERDE,PROXIMO PRACA CANAA
58,-46465148,-23616784,355030873000147,3550308005208,77,SAO RAFAEL,30,SAO MATEUS,Leste,Leste 2,JARDIM VILA NOVA CARRAO,5170-5,AV MARIANA DE SOUZA GUERRA,S/N,JD VL NOVA CARRAO,
59,-46582332,-23497002,355030889000153,3550308005033,91,VILA MARIA,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,PRACA VISTA ALEGRE,3030-9,AV BENEDITO ESTEVAO DOS SANTOS,1227.000000,VL MARIA,PRACA VISTA ALEGRE
60,-46740844,-23671833,355030846000012,3550308005222,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,JARDIM DAS FLORES,1144-4,AV INACIO DIAS DA SILVA,S/N,PIRAPORINHA,ESTRADA DO M BOI MIRIM
61,-46622675,-23599625,355030827000129,3550308005045,27,CURSINO,13,IPIRANGA,Sul,Sul 1,VILA GUMERCINDO,6016-0,RUA DOM ANTONIO ALVARENGA,S/N,VL GUMERCINDO,PROXIMO VIADUTO SANTA CRUZ
62,-46705653,-23579219,355030854000027,3550308005104,55,MORUMBI,10,BUTANTA,Oeste,Oeste,BIBI,4012-6,PC ROBERTO GOMES PEDROSA,520.000000,ITAIM BIBI,PC ROBERTO GOMES PEDROSA
63,-46467490,-23534946,355030837000140,3550308005198,36,ITAQUERA,27,ITAQUERA,Leste,Leste 2,VILA CAMPANELA,5123-3,RUA CAXIU,S/N,VL CAMPANELA,RUA JOAPITANGA
64,-46741447,-23474640,355030863000070,3550308005113,64,PIRITUBA,2,PIRITUBA,Norte,Norte 1,JARDIM REGINA,4087-8,RUA PDE MARCIGAGLIA,19.000000,JD REGINA,AV AGENOR COUTO DE MAGALHAES
65,-46584927,-23580252,355030893000090,3550308005042,95,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,VILA PRUDENTE,1012-0,RUA JOSE ZAPPI,,VL PRUDENTE,RUA CAPITAO PACHECO CHAVES
66,-46498667,-23588908,355030873000183,3550308005154,75,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,VILA IV CENTENARIO,5058-0,AV OURO VERDE DE MINAS,,VL IV CENTENARIO,TV AV RIO DAS PEDRAS
67,-46537768,-23604018,355030872000103,3550308005158,74,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,PAULICEIA,4084-3,RUA HILEIA AMAZONICA,420.000000,JD GUAIRACA,TV ES ORATORIO
68,-46560460,-23584049,355030872000127,3550308005081,74,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,INDEPENDENCIA,4119-0,RUA ERNESTO DOS SANTOS,S/N,JD INDEPENDENCIA,JD INDEPENDENCIA  VILA PRUDENT
69,-46693941,-23736838,355030830000422,3550308005283,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,PARQUE SAO PAULO,5116-0,RUA GAETANO DONIZETTI,S/N,PQ BRASIL,ESQUINA ESTRADA DO BORORE
70,-46761996,-23665179,355030819000092,3550308005231,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,CDHU JARDIM SAO LUIZ-A,7263-0,RUA ANDRE LENS,10.000000,JARDIM SAO LUIZ,CDHU JARDIM SAO LUIZ-A
71,-46652429,-23560992,355030807000079,3550308005011,07,BELA VISTA,9,SE,Centro,Centro,PAMPLONA,7162-5,AL RIO CLARO,S/N,CERQUEIRA CEZAR,
72,-46792297,-23433174,355030803000015,3550308005241,03,ANHANGUERA,1,PERUS,Norte,Norte 1,JARDIM BRITANIA,1218-1,RUA FLORENCIO CARPI,S/N,JD BRITANIA,
73,-46665170,-23601231,355030832000022,3550308005098,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,INDIANOPOLIS,1017-0,AV LAVANDISCA,644.000000,MOEMA,PRX R CANARIOS BAIRRO MOEMA
74,-46703115,-23726550,355030823000048,3550308005286,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,JARDIM IPORANGA,1083-9,RUA ANTONIO PEREIRA TAQUES,15.000000,JD PRESIDENTE,ANTONIO PEREIRA TAQUES
75,-46405872,-23593076,355030825000115,3550308005271,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CIDADE TIRADENTES,6166-2,RUA DONA ELOA DO VALLE QUADROS,S/N,CID TIRADENTES,
76,-46705716,-23497791,355030829000051,3550308005116,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,VILA GONCALVES,7044-0,RUA DR JOSE DE QUEIROS MATOSO,719.000000,VILA GONCALVES,COM A RUA SETE BARRAS
77,-46641457,-23674498,355030822000304,3550308005166,22,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,JARDIM VILAS BOAS,7122-6,RUA LUIS STOLB,S/N,JD VILAS BOAS,COM A RUA GOMES DE AMORIM
78,-46691700,-23556540,355030862000127,3550308005054,63,PINHEIROS,11,PINHEIROS,Oeste,Oeste,VILA MADALENA,7018-1,RUA MOURATO COELHO,S/N,VL MADALENA,TV RUA FRADIQUE COUTINHO
79,-46645055,-23610054,355030877000037,3550308005094,79,SAUDE,12,VILA MARIANA,Sul,Sul 1,ALTINO ARANTES,6017-8,RUA JOSE MARIA WITAKER,S/N,SAUDE,AL GUATAS E AFONSO M FAGUNDES
80,-46397030,-23519155,355030836000218,3550308005256,35,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,JARDIM NAZARE,1165-7,RUA AUGUSTO ALBERECI,S/N,JD NAZARE,
81,-46528032,-23600988,355030872000144,3550308005158,74,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,AMAZONIA,6091-7,RUA NUBIA,,VL TOLSTOI,TV AV CIBELE DE CARVALHO
82,-46558134,-23605148,355030893000125,3550308005082,95,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,VILA CALIFORNIA,5049-0,AV MATA MACHADO,,VL CALIFORNIA,TV DA RUA ANTENAS
83,-46442096,-23599344,355030833000015,3550308005275,32,IGUATEMI,30,SAO MATEUS,Leste,Leste 2,JARDIM IGUATEMI,5125-0,RUA CUBAS DE MENDONCA,S/N,JD IGUATEMI,
84,-46696976,-23493142,355030829000009,3550308005117,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,JARDIM MONJOLO,6070-4,RUA NAZARIO PAGANO,24.000000,JD MONJOLO,PATIO ASFALTADO
85,-46707938,-23441668,355030811000204,3550308005122,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,JARDIM BRASILIA,7246-0,RUA ALEXANDRE SILVA,,JARDIM BRASILIA,
86,-46674045,-23582933,355030835000109,3550308005051,34,ITAIM BIBI,11,PINHEIROS,Oeste,Oeste,CHACARA ITAIM,3137-2,RUA PROF TAMANDARE DE TOLEDO,S/N,JD PAULISTA,
87,-46762550,-23407342,355030861000095,3550308005243,62,PERUS,1,PERUS,Norte,Norte 1,JARDIM DO RUSSO,1126-6,RUA ENG NOGUEIRA SOARES,45.000000,JD DO RUSSO,TV DR SILVIO DE CAMPOS
88,-46653792,-23540707,355030869000112,3550308005014,70,SANTA CECILIA,9,SE,Centro,Centro,FORTUNATO,5162-4,RUA MARTIM FRANCISCO,S/N,STA CECILIA,ENTRE HIGIENOPOLIS E MQ ITU
